ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO / EXPORTADO;DISPÊNDIO / RECEITA
2000;ABR;PETRÓLEO;EXPORTAÇÃO;0;0
2000;AGO;PETRÓLEO;EXPORTAÇÃO;0;0
2000;DEZ;PETRÓLEO;EXPORTAÇÃO;419950,4202;59930153
2000;FEV;PETRÓLEO;EXPORTAÇÃO;0,068537786;51
2000;JAN;PETRÓLEO;EXPORTAÇÃO;0;0
2000;JUL;PETRÓLEO;EXPORTAÇÃO;352685,9778;50862353
2000;JUN;PETRÓLEO;EXPORTAÇÃO;66231,37008;8830391
2000;MAI;PETRÓLEO;EXPORTAÇÃO;0;0
2000;MAR;PETRÓLEO;EXPORTAÇÃO;0;0
2000;NOV;PETRÓLEO;EXPORTAÇÃO;245182,6802;38934539
2000;OUT;PETRÓLEO;EXPORTAÇÃO;0;0
2000;SET;PETRÓLEO;EXPORTAÇÃO;28,08925642;27486
2000;ABR;PETRÓLEO;IMPORTAÇÃO;1717433,541;323484334
2000;AGO;PETRÓLEO;IMPORTAÇÃO;2753271,691;519766652
2000;DEZ;PETRÓLEO;IMPORTAÇÃO;1486358,89;300427821
2000;FEV;PETRÓLEO;IMPORTAÇÃO;1837306,432;322272219
2000;JAN;PETRÓLEO;IMPORTAÇÃO;1290550,568;217681804
2000;JUL;PETRÓLEO;IMPORTAÇÃO;1939384,258;375438416
2000;JUN;PETRÓLEO;IMPORTAÇÃO;2483588,63;450747845
2000;MAI;PETRÓLEO;IMPORTAÇÃO;2159317,299;341558361
2000;MAR;PETRÓLEO;IMPORTAÇÃO;2119427,893;397505540
2000;NOV;PETRÓLEO;IMPORTAÇÃO;1474147,784;295353034
2000;OUT;PETRÓLEO;IMPORTAÇÃO;1699983,718;354696297
2000;SET;PETRÓLEO;IMPORTAÇÃO;2140166,66;406683061
2001;ABR;PETRÓLEO;EXPORTAÇÃO;748724,3163;79974562
2001;AGO;PETRÓLEO;EXPORTAÇÃO;391767,5872;47229478
2001;DEZ;PETRÓLEO;EXPORTAÇÃO;1057664,932;88828204
2001;FEV;PETRÓLEO;EXPORTAÇÃO;738842,4541;85843872
2001;JAN;PETRÓLEO;EXPORTAÇÃO;482738,5317;66156287
2001;JUL;PETRÓLEO;EXPORTAÇÃO;616281,9161;74907022
2001;JUN;PETRÓLEO;EXPORTAÇÃO;706233,0049;87475491
2001;MAI;PETRÓLEO;EXPORTAÇÃO;741129,7937;75495898
2001;MAR;PETRÓLEO;EXPORTAÇÃO;62826,26458;8562194
2001;NOV;PETRÓLEO;EXPORTAÇÃO;279997,0439;35941686
2001;OUT;PETRÓLEO;EXPORTAÇÃO;393100,3674;45721755
2001;SET;PETRÓLEO;EXPORTAÇÃO;209173,6961;24735018
2001;ABR;PETRÓLEO;IMPORTAÇÃO;1419867,271;222246150
2001;AGO;PETRÓLEO;IMPORTAÇÃO;2583800,741;423977588
2001;DEZ;PETRÓLEO;IMPORTAÇÃO;2080112,922;262431101
2001;FEV;PETRÓLEO;IMPORTAÇÃO;1618981,199;285981303
2001;JAN;PETRÓLEO;IMPORTAÇÃO;2081777,052;353225516
2001;JUL;PETRÓLEO;IMPORTAÇÃO;1884416,415;340138400
2001;JUN;PETRÓLEO;IMPORTAÇÃO;2671940,565;463816936
2001;MAI;PETRÓLEO;IMPORTAÇÃO;1644812,38;284745212
2001;MAR;PETRÓLEO;IMPORTAÇÃO;1827976,918;337866181
2001;NOV;PETRÓLEO;IMPORTAÇÃO;1893801,902;256319394
2001;OUT;PETRÓLEO;IMPORTAÇÃO;2656514,357;448425287
2001;SET;PETRÓLEO;IMPORTAÇÃO;1830965,243;290462798
2002;ABR;PETRÓLEO;EXPORTAÇÃO;1013538,099;116807682
2002;AGO;PETRÓLEO;EXPORTAÇÃO;1274312,249;166749234
2002;DEZ;PETRÓLEO;EXPORTAÇÃO;1423077,514;175203918
2002;FEV;PETRÓLEO;EXPORTAÇÃO;547210,5245;45354146
2002;JAN;PETRÓLEO;EXPORTAÇÃO;552396,8787;43039514
2002;JUL;PETRÓLEO;EXPORTAÇÃO;2541184,281;318458938
2002;JUN;PETRÓLEO;EXPORTAÇÃO;395299,2798;53591019
2002;MAI;PETRÓLEO;EXPORTAÇÃO;1099351,913;141431989
2002;MAR;PETRÓLEO;EXPORTAÇÃO;1203002,721;110677852
2002;NOV;PETRÓLEO;EXPORTAÇÃO;824641,0317;116558589
2002;OUT;PETRÓLEO;EXPORTAÇÃO;1603306,24;238460316
2002;SET;PETRÓLEO;EXPORTAÇÃO;1157500,411;165038539
2002;ABR;PETRÓLEO;IMPORTAÇÃO;2143573,429;326273424
2002;AGO;PETRÓLEO;IMPORTAÇÃO;1298684,651;219213839
2002;DEZ;PETRÓLEO;IMPORTAÇÃO;2076271,419;337439925
2002;FEV;PETRÓLEO;IMPORTAÇÃO;1803683,437;210621960
2002;JAN;PETRÓLEO;IMPORTAÇÃO;1565295,797;162625385
2002;JUL;PETRÓLEO;IMPORTAÇÃO;1751512,486;277326035
2002;JUN;PETRÓLEO;IMPORTAÇÃO;1267709,797;205576218
2002;MAI;PETRÓLEO;IMPORTAÇÃO;2427338,768;404465186
2002;MAR;PETRÓLEO;IMPORTAÇÃO;1748130,4;219831794
2002;NOV;PETRÓLEO;IMPORTAÇÃO;1916068,948;354366611
2002;OUT;PETRÓLEO;IMPORTAÇÃO;1995041,361;355854191
2002;SET;PETRÓLEO;IMPORTAÇÃO;2062286,515;344407372
2003;ABR;PETRÓLEO;EXPORTAÇÃO;714792,9165;104745062
2003;AGO;PETRÓLEO;EXPORTAÇÃO;763285,7451;113010231
2003;DEZ;PETRÓLEO;EXPORTAÇÃO;1737941,278;268933182
2003;FEV;PETRÓLEO;EXPORTAÇÃO;1740856,466;273683107
2003;JAN;PETRÓLEO;EXPORTAÇÃO;852918,4115;122667487
2003;JUL;PETRÓLEO;EXPORTAÇÃO;1059870,356;153018416
2003;JUN;PETRÓLEO;EXPORTAÇÃO;971146,2535;122826413
2003;MAI;PETRÓLEO;EXPORTAÇÃO;933414,7935;112243387
2003;MAR;PETRÓLEO;EXPORTAÇÃO;1335292,445;252928793
2003;NOV;PETRÓLEO;EXPORTAÇÃO;1127795,972;175959350
2003;OUT;PETRÓLEO;EXPORTAÇÃO;1409557,719;205555410
2003;SET;PETRÓLEO;EXPORTAÇÃO;1383157,46;216359485
2003;ABR;PETRÓLEO;IMPORTAÇÃO;2031223,262;400320942
2003;AGO;PETRÓLEO;IMPORTAÇÃO;1694618,881;326008332
2003;DEZ;PETRÓLEO;IMPORTAÇÃO;1031195,629;201563567
2003;FEV;PETRÓLEO;IMPORTAÇÃO;1744121,865;360626059
2003;JAN;PETRÓLEO;IMPORTAÇÃO;1624323,947;317694036
2003;JUL;PETRÓLEO;IMPORTAÇÃO;1399148,713;261244558
2003;JUN;PETRÓLEO;IMPORTAÇÃO;1520770,929;247080158
2003;MAI;PETRÓLEO;IMPORTAÇÃO;955600,0199;167194269
2003;MAR;PETRÓLEO;IMPORTAÇÃO;1495444,799;328897815
2003;NOV;PETRÓLEO;IMPORTAÇÃO;1998672,417;372356545
2003;OUT;PETRÓLEO;IMPORTAÇÃO;2377848,244;444151123
2003;SET;PETRÓLEO;IMPORTAÇÃO;2085511,374;392975513
2004;ABR;PETRÓLEO;EXPORTAÇÃO;426625,2612;76173983
2004;AGO;PETRÓLEO;EXPORTAÇÃO;1658509,767;321934004
2004;DEZ;PETRÓLEO;EXPORTAÇÃO;962787,6749;221454284
2004;FEV;PETRÓLEO;EXPORTAÇÃO;1230354,491;200683383
2004;JAN;PETRÓLEO;EXPORTAÇÃO;1457948,641;229737858
2004;JUL;PETRÓLEO;EXPORTAÇÃO;1221364,846;231719816
2004;JUN;PETRÓLEO;EXPORTAÇÃO;1517559,775;295307681
2004;MAI;PETRÓLEO;EXPORTAÇÃO;1321002,169;231603147
2004;MAR;PETRÓLEO;EXPORTAÇÃO;1572330,514;256672821
2004;NOV;PETRÓLEO;EXPORTAÇÃO;810457,8119;192455031
2004;OUT;PETRÓLEO;EXPORTAÇÃO;907741,625;199131186
2004;SET;PETRÓLEO;EXPORTAÇÃO;308239,5528;70818158
2004;ABR;PETRÓLEO;IMPORTAÇÃO;2737462,495;623242349
2004;AGO;PETRÓLEO;IMPORTAÇÃO;2320349,114;616693956
2004;DEZ;PETRÓLEO;IMPORTAÇÃO;2184204,974;649525220
2004;FEV;PETRÓLEO;IMPORTAÇÃO;1429719,145;302317061
2004;JAN;PETRÓLEO;IMPORTAÇÃO;2161977,096;444599401
2004;JUL;PETRÓLEO;IMPORTAÇÃO;2545173,651;615900908
2004;JUN;PETRÓLEO;IMPORTAÇÃO;2491229,817;634790720
2004;MAI;PETRÓLEO;IMPORTAÇÃO;3050293,559;696658122
2004;MAR;PETRÓLEO;IMPORTAÇÃO;2095855,36;448591851
2004;NOV;PETRÓLEO;IMPORTAÇÃO;1849598,9;561849014
2004;OUT;PETRÓLEO;IMPORTAÇÃO;2180677,925;640174859
2004;SET;PETRÓLEO;IMPORTAÇÃO;1866060,676;509211552
2005;ABR;PETRÓLEO;EXPORTAÇÃO;1149399,499;290641403
2005;AGO;PETRÓLEO;EXPORTAÇÃO;2193930,705;636207175
2005;DEZ;PETRÓLEO;EXPORTAÇÃO;1057431,697;299867060
2005;FEV;PETRÓLEO;EXPORTAÇÃO;923937,9848;194290086
2005;JAN;PETRÓLEO;EXPORTAÇÃO;1253124,902;213392000
2005;JUL;PETRÓLEO;EXPORTAÇÃO;3532178,908;850080347
2005;JUN;PETRÓLEO;EXPORTAÇÃO;93868,35082;23922092
2005;MAI;PETRÓLEO;EXPORTAÇÃO;1279571,452;311845917
2005;MAR;PETRÓLEO;EXPORTAÇÃO;571269,8599;117354610
2005;NOV;PETRÓLEO;EXPORTAÇÃO;1563976,875;476863854
2005;OUT;PETRÓLEO;EXPORTAÇÃO;593248,4781;189924472
2005;SET;PETRÓLEO;EXPORTAÇÃO;1717040,302;560060719
2005;ABR;PETRÓLEO;IMPORTAÇÃO;1253909,496;405181619
2005;AGO;PETRÓLEO;IMPORTAÇÃO;2227633,61;870458829
2005;DEZ;PETRÓLEO;IMPORTAÇÃO;2067212,06;826272696
2005;FEV;PETRÓLEO;IMPORTAÇÃO;2354547,038;645668644
2005;JAN;PETRÓLEO;IMPORTAÇÃO;2074738,192;545066012
2005;JUL;PETRÓLEO;IMPORTAÇÃO;1792687,543;628159814
2005;JUN;PETRÓLEO;IMPORTAÇÃO;1282507,706;429885244
2005;MAI;PETRÓLEO;IMPORTAÇÃO;2484859,851;841942889
2005;MAR;PETRÓLEO;IMPORTAÇÃO;1766655,79;547541989
2005;NOV;PETRÓLEO;IMPORTAÇÃO;1850647,632;727727774
2005;OUT;PETRÓLEO;IMPORTAÇÃO;1535076,291;643372052
2005;SET;PETRÓLEO;IMPORTAÇÃO;1283664,961;537163205
2006;ABR;PETRÓLEO;EXPORTAÇÃO;1315794,929;402139078
2006;AGO;PETRÓLEO;EXPORTAÇÃO;1906646,851;725090370
2006;DEZ;PETRÓLEO;EXPORTAÇÃO;2594288,303;745331539
2006;FEV;PETRÓLEO;EXPORTAÇÃO;757099,8553;235088202
2006;JAN;PETRÓLEO;EXPORTAÇÃO;2645724,429;721417096
2006;JUL;PETRÓLEO;EXPORTAÇÃO;2374648,971;869938847
2006;JUN;PETRÓLEO;EXPORTAÇÃO;1236422,443;448002825
2006;MAI;PETRÓLEO;EXPORTAÇÃO;1114750,725;368935921
2006;MAR;PETRÓLEO;EXPORTAÇÃO;1166874,587;360583552
2006;NOV;PETRÓLEO;EXPORTAÇÃO;1887782,945;511483460
