ANO;MÊS;UNIDADE DA FEDERAÇÃO;REFINARIA;MATÉRIA PRIMA;PROCESSADO
1990;DEZ;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;NOV;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;FEV;SÃO PAULO;RPBC;OUTRAS CARGAS;3026
1990;JAN;SÃO PAULO;RPBC;OUTRAS CARGAS;2678
1990;OUT;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;JUL;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;JUN;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;SET;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;AGO;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;MAR;SÃO PAULO;RPBC;OUTRAS CARGAS;4038
1990;OUT;SÃO PAULO;RPBC;OUTRAS CARGAS;9651
1990;SET;SÃO PAULO;RPBC;OUTRAS CARGAS;11297
1990;DEZ;SÃO PAULO;RPBC;OUTRAS CARGAS;7380
1990;NOV;SÃO PAULO;RPBC;OUTRAS CARGAS;8043
1990;AGO;SÃO PAULO;RPBC;OUTRAS CARGAS;24895
1990;MAI;SÃO PAULO;RPBC;OUTRAS CARGAS;14644
1990;ABR;SÃO PAULO;RPBC;OUTRAS CARGAS;11726
1990;JUL;SÃO PAULO;RPBC;OUTRAS CARGAS;13990
1990;JUN;SÃO PAULO;RPBC;OUTRAS CARGAS;10408
1990;MAI;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;ABR;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;JUL;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;JUN;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;MAR;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;DEZ;RIO GRANDE DO SUL;RIOGRANDENSE;PETRÓLEO IMPORTADO;46474
1990;NOV;RIO GRANDE DO SUL;RIOGRANDENSE;PETRÓLEO IMPORTADO;44537
1990;FEV;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;JAN;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;AGO;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;MAR;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;FEV;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;MAI;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;ABR;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;JAN;BAHIA;DAX OIL;PETRÓLEO IMPORTADO;0
1990;OUT;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;SET;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;DEZ;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;NOV;SÃO PAULO;UNIVEN;PETRÓLEO IMPORTADO;0
1990;FEV;MINAS GERAIS;REGAP;OUTRAS CARGAS;0
1990;JAN;MINAS GERAIS;REGAP;OUTRAS CARGAS;737
1990;ABR;MINAS GERAIS;REGAP;OUTRAS CARGAS;0
1990;MAR;MINAS GERAIS;REGAP;OUTRAS CARGAS;0
1990;DEZ;RIO DE JANEIRO;REDUC;OUTRAS CARGAS;6751
1990;SET;RIO DE JANEIRO;REDUC;OUTRAS CARGAS;7397
1990;AGO;RIO DE JANEIRO;REDUC;OUTRAS CARGAS;5522
1990;NOV;RIO DE JANEIRO;REDUC;OUTRAS CARGAS;3494
1990;OUT;RIO DE JANEIRO;REDUC;OUTRAS CARGAS;3106
1990;MAI;MINAS GERAIS;REGAP;OUTRAS CARGAS;29332
1990;DEZ;MINAS GERAIS;REGAP;OUTRAS CARGAS;0
1990;NOV;MINAS GERAIS;REGAP;OUTRAS CARGAS;6989
1990;FEV;RIO GRANDE DO SUL;REFAP;OUTRAS CARGAS;2407
1990;JAN;RIO GRANDE DO SUL;REFAP;OUTRAS CARGAS;3278
1990;OUT;MINAS GERAIS;REGAP;OUTRAS CARGAS;22826
1990;JUL;MINAS GERAIS;REGAP;OUTRAS CARGAS;27455
1990;JUN;MINAS GERAIS;REGAP;OUTRAS CARGAS;5169
1990;SET;MINAS GERAIS;REGAP;OUTRAS CARGAS;0
1990;AGO;MINAS GERAIS;REGAP;OUTRAS CARGAS;0
1990;JUL;BAHIA;RLAM;OUTRAS CARGAS;2095
1990;JUN;BAHIA;RLAM;OUTRAS CARGAS;5160
1990;SET;BAHIA;RLAM;OUTRAS CARGAS;1980
1990;AGO;BAHIA;RLAM;OUTRAS CARGAS;2686
1990;MAI;BAHIA;RLAM;OUTRAS CARGAS;4527
1990;FEV;BAHIA;RLAM;OUTRAS CARGAS;4656
